KIC,Error
2581626,0.6011870255454016
2972514,0.5943265925500327
3119295,0.8020046621711171
3953144,0.028649259672778118
4036687,3.2376922127219916
4066203,0.16580793834760293
4243668,0.007558823472273971
4374279,0.22162832228373397
4466691,0.16878604942300585
4547067,0.06251101211759814
4651526,0.2143555238894491
4995588,0.003975323964906825
5027750,0.016227120618767917
5284701,0.008102550403992805
5286485,0.01310255354966028
5353653,0.020243322627185777
5357882,0.08973338128414392
5534340,0.16272207159004434
5707205,0.014828479829823299
5788165,0.010853600164189708
6304420,0.008958595990847251
6442207,0.4584989083217337
6444630,0.08673092918172032
