KIC,MSE,Composite Function
6231538,2.7281997348940877e-05,f(t) = 0.0008 * sin(2π * 12.2731 * t + -0.8781) + 0.8989 + 0.0001 * sin(2π * 14.7227 * t + 0.3337) + 0.1011
6606229,1.6054900944801757e-05,f(t) = 0.0003 * sin(2π * 3.5234 * t + 0.7509) + 0.0615 + 0.0003 * sin(2π * 4.1820 * t + 3.7925) + 0.0603 + 0.0007 * sin(2π * 4.8207 * t + 5.0931) + 0.1371 + 0.0021 * sin(2π * 6.4079 * t + 1.6559) + 0.4250 + 0.0003 * sin(2π * 6.8821 * t + -0.5423) + 0.0645 + 0.0013 * sin(2π * 7.8092 * t + 0.4562) + 0.2516
6963490,0.00043060241162108534,f(t) = 0.0008 * sin(2π * 6.7104 * t + -2.1786) + 0.0690 + 0.0067 * sin(2π * 7.1409 * t + -3.0080) + 0.5623 + 0.0026 * sin(2π * 7.5708 * t + -2.0344) + 0.2201 + 0.0018 * sin(2π * 11.3766 * t + 0.1886) + 0.1498
7300184,0.0004513139246802839,f(t) = 0.0024 * sin(2π * 11.6574 * t + 2.4430) + 0.8681 + 0.0004 * sin(2π * 20.7635 * t + 2.7854) + 0.1330
7900367,7.642231463172946e-06,f(t) = 0.0003 * sin(2π * 7.7889 * t + -2.8246) + 0.1686 + 0.0013 * sin(2π * 13.2494 * t + -3.5079) + 0.8314
7915515,9.722062779574337e-07,f(t) = 0.0001 * sin(2π * 12.1979 * t + 2.7378) + 0.2081 + 0.0000 * sin(2π * 12.5686 * t + 0.6892) + 0.0518 + 0.0000 * sin(2π * 12.8995 * t + -2.1090) + 0.0777 + 0.0000 * sin(2π * 14.4652 * t + -3.0704) + 0.0689 + 0.0000 * sin(2π * 14.7941 * t + 5.5575) + 0.0968 + 0.0000 * sin(2π * 15.1242 * t + -0.2302) + 0.4967
9851822,9.144940836427965e-06,f(t) = 0.0005 * sin(2π * 14.6513 * t + 1.8123) + 1.0000
10350769,2.0485713673638656e-06,f(t) = 0.0001 * sin(2π * 1.0093 * t + 1.5813) + 0.1475 + 0.0001 * sin(2π * 1.5662 * t + -2.6710) + 0.1702 + 0.0005 * sin(2π * 3.1318 * t + 2.2954) + 0.6822
10355055,1.5604714161203191e-06,f(t) = 0.0007 * sin(2π * 18.6817 * t + -1.2062) + 0.1820 + 0.0003 * sin(2π * 19.5760 * t + -1.6928) + 0.0847 + 0.0030 * sin(2π * 22.0843 * t + -0.1981) + 0.7333
10415087,0.0007887512017376184,f(t) = 0.0098 * sin(2π * 7.2323 * t + -0.6744) + 1.0016
11027806,3.854191406348305e-07,f(t) = 0.0000 * sin(2π * 2.8232 * t + -0.2590) + 0.2112 + 0.0000 * sin(2π * 3.6886 * t + 0.4054) + 0.0632 + 0.0000 * sin(2π * 4.5119 * t + 0.7697) + 0.0570 + 0.0000 * sin(2π * 5.3166 * t + -3.3327) + 0.5248 + 0.0000 * sin(2π * 7.7889 * t + -3.0244) + 0.1439
11769929,0.00037468588616916407,f(t) = 0.0030 * sin(2π * 10.1167 * t + 0.9473) + 0.5458 + 0.0003 * sin(2π * 10.4673 * t + -1.9410) + 0.0579 + 0.0004 * sin(2π * 13.5992 * t + 2.8051) + 0.0797 + 0.0003 * sin(2π * 15.2481 * t + -0.7452) + 0.0595 + 0.0009 * sin(2π * 16.2166 * t + -1.3774) + 0.1709 + 0.0005 * sin(2π * 17.8437 * t + 2.9079) + 0.0867
12216817,0.000240888392982337,f(t) = 0.0045 * sin(2π * 3.6175 * t + -2.4268) + 0.2151 + 0.0028 * sin(2π * 5.6983 * t + 2.8200) + 0.1358 + 0.0018 * sin(2π * 6.6288 * t + 1.6763) + 0.0863 + 0.0117 * sin(2π * 8.1201 * t + -0.1370) + 0.5633
