KIC,Spectral Residuals,R2_FFT
6231538,114633.55499879057,0.999972695108004
6606229,196138.05501346436,0.9999839512760101
6963490,1815164.3841662582,0.9995688763162225
7300184,1895499.1516712962,0.9995497421053146
7900367,79404.38150561371,0.9999923394467072
7915515,4163.732332663477,0.9999990224550465
9851822,24468.573535724558,0.9999908497762651
10350769,5625.058187532816,0.9999979353084592
10355055,599764.3394170116,0.9999983277396605
10415087,2156269.9929344635,0.9992118161389777
11027806,1668.7339211183812,0.9999996081894446
11769929,1595784.611587746,0.9996258136034336
12216817,2602589.360945447,0.9997575611100717
1849235,2152434.1429418405,0.9994956911034646
3424493,96705.06559434334,0.9999909836564237
3648131,16995.752136863422,0.9999960097957573
3965879,46015.06567236752,0.9999828147912782
4072890,495.6404710307282,0.9999998151489154
8264404,1967734.7382764202,0.9999858670215649
8330102,72109.17401037033,0.9999828280141748
8453431,43839.23185343436,0.9999897083561032
8493159,1172742.7584254425,0.999725150675169
8585472,29533.131825369783,0.9999930665058776
8845312,165197.9355316937,0.9999611867500032
9050337,5448.359076133635,0.9999987208462123
4544967,5967.623449515479,0.9999985993725098
4569150,42825.702690354374,0.9999843338440328
4577647,327287.4791381999,0.9998804887251971
4940217,156902.57948353153,0.9999413149368734
5108514,75454.51125911268,0.9999718972728066
5358323,3361.003199820843,0.9999992108632779
5900260,7820.8863559072315,0.9999981637555023
9051991,219055.44773593984,0.9999485813852701
9306095,14084178.988320807,0.9988192499900715
9368220,528425.9472034865,0.9999490430653828
9368524,570932.4653941317,0.9998640529655594
9649801,19605.209654277245,0.9999953975278661
9775887,481289.3230903534,0.9996728027115145
9532219,133522.9862216639,0.9999612234527483
9594189,326805.13284339715,0.9999221616967854
9897710,61862.50354059238,0.9999852499241364
9717148,45643.3586410986,0.9999447881261847
2581626,32876.503950782106,0.9995638218736304
2972514,78329.75092995043,0.9988671555792636
3119295,56807.55659465068,0.9991999423608738
3953144,1109.75429027735,0.9999851205894318
4036687,132817.65165668319,0.9981850316911185
4066203,843.7217613877643,0.9999864882063262
4243668,556.5866213654368,0.9999925297619363
4374279,15570.851177141194,0.9997482636981515
4466691,12654.582624951647,0.9998280049744354
4547067,1324.097134775413,0.9999822380034991
4651526,20769.320741390187,0.9997212284323733
4995588,140.9890247452756,0.9999981089303057
5027750,350.677480153047,0.999994380636986
5284701,60.768510641346786,0.9999990264381122
5286485,64.67810928126565,0.9999989639929843
5353653,1566.4714839924877,0.9999789903644667
5357882,5359.075827669534,0.9999281975914664
5534340,6399.672434270716,0.9999142349225622
5707205,336.06324446166275,0.9999954922779383
5788165,78.60472358424008,0.999998945186285
6304420,46.743329177100755,0.9999993730215119
6442207,29431.731481086877,0.9995899035949327
6444630,13818.24182819753,0.9998149599741923
6778487,21631.985153584043,0.9997076810805299
6836820,21509.082530600343,0.9997000067641567
6955650,10542.679816099713,0.9998580270531456
7048016,635.4782554680007,0.9999963278043433
7124161,2524.967740236547,0.9999661393622078
7347529,44391.00915974463,0.9998990687408557
7521682,28669.78001039713,0.9990827615282605
7601767,4276.962234919233,0.9998106754985994
7617649,9758.12301565334,0.9995616074634406
7668283,290.7115849017136,0.9999874989226326
7750215,261.9283346973279,0.9999965503889031
7905603,111.51659131195004,0.9999324638529824
7937097,52712.27263763538,0.9977302476387353
7948091,2087.628527650453,0.9999089880800742
7984934,2114.2453091249713,0.9999083031685727
8052082,25.873278145478082,0.9999988851444309
8087649,1580.3271920883026,0.999931045365661
8090059,37.197956549503516,0.9999988346204421
8144212,12.34252383909271,0.9999994681943567
8150307,22.15175092860585,0.999999045577383
8245366,1031177049.6004148,0.9994011999619085
8248967,10504.751044238172,0.9995378329783452
8249829,16.879485565504076,0.9999992727534772
8315263,320.62674457355683,0.9999861920926104
8393922,38.078070128632184,0.9999983601416933
8516900,141.14171971009932,0.99999392168383
8648251,159.93110347775465,0.9999931128723664
8649814,294.5016836613446,0.9999873194922582
8960514,70.47188154417398,0.9999969648342458
8963394,13593.959034026011,0.9993978673467541
9075949,43792.363336922805,0.9980912651363016
9077483,18034.119669033855,0.9997571047881605
9137819,99368.70202314442,0.9958864731577542
9202969,775.5999236741574,0.9999666053185625
9214444,22.071175282118382,0.9999990482431065
9364179,101937.85397289158,0.9999907764364
9594857,130640235.1385255,0.9997167318852027
9614153,31.704518306090197,0.9999986345003852
9700322,816222421.6617172,0.9992714510976529
9706609,13.115580542742377,0.9999994341371587
9724292,112.92385100464656,0.9999951371629625
9942562,12.527373245073225,0.9999998348652143
10451090,137171.38372741855,0.9999983172737833
11143576,667.6378319659323,0.9999895397305053
11704101,1219096.917253392,0.995804752833876
11852985,249.64094389072773,0.9999873375653744
