KIC,RMSE
6231538,0.6675308148668796
6606229,0.5689332488316478
6963490,0.5590064829467879
7300184,0.6228317814539114
7900367,0.5970992025183745
7915515,0.602890916694136
9851822,0.7056685865576373
10350769,0.5838787074133348
10355055,0.3034826085688627
10415087,0.6212443379952586
11027806,0.6333205914180622
11769929,0.6196289209367595
12216817,0.5184210542046904
1849235,0.5948625221264912
3424493,0.29786863151980814
3648131,0.6588568869359627
3965879,0.32062862101489226
4072890,0.6153918553444397
8264404,0.44761605647462493
8330102,0.5958875351347904
8453431,0.5931815263208996
8493159,0.5656927704086219
8585472,0.6378760870580147
8845312,0.6935390083057775
9050337,0.6462737381271614
4544967,0.24519331362079244
4569150,0.6018944375587204
4577647,0.5352186858173033
4940217,0.6887004276251215
5108514,0.5144649478854171
5358323,0.6272538170095117
5900260,0.5997836732813606
9051991,0.6418506845830758
9306095,0.5173536623247936
9368220,0.5517259311409572
9368524,0.5963509959775939
9649801,0.5969724474379701
9775887,0.5720674912785446
9532219,0.23084823569906454
9594189,0.5530698045822064
9897710,0.7164393775065608
9717148,0.5304971898199421
2581626,0.07307084253004015
2972514,0.18345619301640767
3119295,0.14075638187515102
3953144,0.28097759294627
4036687,0.19614008176198333
4066203,0.13872433696001407
4243668,0.30498447982661064
4374279,0.16465643592481477
4466691,0.24359720535141222
4547067,0.12353738417740233
4651526,0.26266147559426783
4995588,0.179241961164258
5027750,0.4468273276998653
5284701,0.4091757788121017
5286485,0.0962567048208963
5353653,0.22600836249475756
5357882,0.21109163401047543
5534340,0.4069995142395556
5707205,0.18613497892616276
5788165,0.5067876016190641
6304420,0.2377751590964092
6442207,0.17634826761840924
6444630,0.2130623684194057
6778487,0.12002027667517573
6836820,0.12123832994098195
6955650,0.09971924816162533
7048016,0.42688454744614346
7124161,0.188881622007429
7347529,0.5314591343439272
7521682,0.14631793906619878
7601767,0.14332583833566917
7617649,0.1321920218302164
7668283,0.10058452086716259
7750215,0.3856919600605185
7905603,0.3122284701591323
7937097,0.3295572196927515
7948091,0.21248623092912713
7984934,0.19578600675754798
8052082,0.37852755608469774
8087649,0.1447217360773187
8090059,0.12985292112150706
8144212,0.20078310127542953
8150307,0.14179395855934054
8245366,0.5129827550367844
8248967,0.14519761377814017
8249829,0.23824100803734702
8315263,0.2768909413621174
8393922,0.30249275430283706
8516900,0.28804574002556765
8648251,0.0993825541753463
8649814,0.23414064821166833
8960514,0.306568416038691
8963394,0.13822795441802466
9075949,0.24444132134593224
9077483,0.10947303375991944
9137819,0.10614062949049953
9202969,0.11248460695257462
9214444,0.4645148544286428
9364179,0.4270094812468009
9594857,0.5383992221782867
9614153,0.25427956122760303
9700322,0.4719920255832617
9706609,0.553036875252385
9724292,0.23940055561156792
9942562,0.3661528720684333
10451090,0.32267446198226063
11143576,0.1904661661325624
11704101,0.6694760266816326
11852985,0.18053582583920535
