KIC,MSE,Composite Function
1849235,0.0005051951718400253,f(t) = 0.0032 * sin(2π * 6.2639 * t + -0.8843) + 0.7432 + 0.0011 * sin(2π * 6.6556 * t + 0.5457) + 0.2576
3424493,8.38353404529866e-06,f(t) = 0.0076 * sin(2π * 2.7094 * t + -0.9709) + 1.0003
3648131,3.986775750935869e-06,f(t) = 0.0003 * sin(2π * 15.4127 * t + -0.2140) + 0.8266 + 0.0001 * sin(2π * 20.2335 * t + 4.6074) + 0.1734
3965879,1.587535976637762e-05,f(t) = 0.0107 * sin(2π * 6.5374 * t + -1.4500) + 1.0001
4072890,1.8461488781629555e-07,f(t) = 0.0001 * sin(2π * 6.6980 * t + 3.4168) + 1.0000
8264404,1.374041512593399e-05,f(t) = 0.0008 * sin(2π * 1.3403 * t + -0.2845) + 0.0809 + 0.0007 * sin(2π * 1.8688 * t + -3.5778) + 0.0701 + 0.0009 * sin(2π * 3.1751 * t + 3.7780) + 0.0933 + 0.0005 * sin(2π * 7.9461 * t + 3.5952) + 0.0509 + 0.0046 * sin(2π * 9.3963 * t + -4.1382) + 0.4570 + 0.0018 * sin(2π * 10.7417 * t + -1.9126) + 0.1759 + 0.0007 * sin(2π * 12.6049 * t + -5.9204) + 0.0715
8330102,1.7163865697114557e-05,f(t) = 0.0003 * sin(2π * 15.9598 * t + -0.6755) + 0.0859 + 0.0020 * sin(2π * 17.3285 * t + -1.3861) + 0.6075 + 0.0005 * sin(2π * 19.0369 * t + -0.0928) + 0.1461 + 0.0003 * sin(2π * 21.1882 * t + 0.2458) + 0.0778 + 0.0003 * sin(2π * 22.9326 * t + -0.4419) + 0.0828
8453431,1.0292787160940167e-05,f(t) = 0.0001 * sin(2π * 13.8676 * t + -1.5735) + 0.6106 + 0.0001 * sin(2π * 22.1506 * t + -3.1406) + 0.3894
8493159,0.0002753860073464949,f(t) = 0.0001 * sin(2π * 5.5837 * t + 1.4221) + 0.1060 + 0.0006 * sin(2π * 7.3146 * t + 3.3227) + 0.4999 + 0.0002 * sin(2π * 8.2215 * t + 0.9958) + 0.1738 + 0.0001 * sin(2π * 11.6008 * t + -2.2537) + 0.0675 + 0.0002 * sin(2π * 13.3317 * t + -1.1843) + 0.0609 + 0.0001 * sin(2π * 14.8561 * t + -1.6541) + 0.0928
8585472,6.921414063530273e-06,f(t) = 0.0000 * sin(2π * 2.6585 * t + -1.9311) + 0.0724 + 0.0000 * sin(2π * 7.2740 * t + -2.9454) + 0.0832 + 0.0000 * sin(2π * 10.0341 * t + 3.7754) + 0.1608 + 0.0001 * sin(2π * 12.5283 * t + -1.9395) + 0.6835
