KIC,MSE,Composite Function
7521682,0.00018953978455297138,f(t) = 0.1170 * sin(2π * 5.6083 * t + -3.9570) + 0.8776 + 0.0145 * sin(2π * 11.2167 * t + -6.2832) + 0.1087
7601767,0.00012315636410681105,f(t) = 0.1040 * sin(2π * 4.1093 * t + 6.2832) + 0.8585 + 0.0152 * sin(2π * 8.2181 * t + -6.2832) + 0.1256
7617649,0.0003388153067740597,f(t) = 0.1853 * sin(2π * 5.4288 * t + -4.4989) + 0.8249 + 0.0327 * sin(2π * 10.8581 * t + -6.2832) + 0.1454
7668283,4.513708069117361e-06,f(t) = 0.0036 * sin(2π * 1.8599 * t + -6.2832) + 0.1541 + 0.0176 * sin(2π * 3.7211 * t + -4.8423) + 0.7596 + 0.0020 * sin(2π * 5.5823 * t + -0.5246) + 0.0874
7750215,3.420743165344581e-06,f(t) = 0.0032 * sin(2π * 16.2788 * t + 6.2832) + 1.0000
7905603,6.038138192663844e-05,f(t) = 0.0044 * sin(2π * 7.9819 * t + -6.2832) + 0.1348 + 0.0027 * sin(2π * 8.4601 * t + -6.2832) + 0.0837 + 0.0085 * sin(2π * 13.4830 * t + -6.2832) + 0.2601 + 0.0029 * sin(2π * 16.2335 * t + -6.2832) + 0.0878 + 0.0141 * sin(2π * 18.2096 * t + -6.2832) + 0.4339
7937097,0.0019948310954217485,f(t) = 0.0132 * sin(2π * 2.3467 * t + -5.8741) + 0.1062 + 0.1108 * sin(2π * 4.6877 * t + 2.0280) + 0.8898
7948091,8.62809142263776e-05,f(t) = 0.0089 * sin(2π * 3.3578 * t + -6.2832) + 0.1343 + 0.0506 * sin(2π * 6.7150 * t + -6.2832) + 0.7608 + 0.0066 * sin(2π * 13.4321 * t + -6.2832) + 0.0985
7984934,1.5998805376310345e-05,f(t) = 0.0040 * sin(2π * 3.4440 * t + -6.2832) + 0.1159 + 0.0262 * sin(2π * 6.8889 * t + 5.5845) + 0.7595 + 0.0042 * sin(2π * 13.7773 * t + -6.2832) + 0.1210
8052082,9.504994810619171e-07,f(t) = 0.0014 * sin(2π * 18.3626 * t + -6.2832) + 0.5278 + 0.0012 * sin(2π * 20.6473 * t + 3.1864) + 0.4722
8087649,5.1037399657257646e-05,f(t) = 0.0210 * sin(2π * 2.0833 * t + -6.2832) + 0.2690 + 0.0566 * sin(2π * 4.1674 * t + 5.5368) + 0.7237
8090059,1.144967890284222e-06,f(t) = 0.0079 * sin(2π * 18.3604 * t + -4.2581) + 1.0000
8144212,4.7552471233068e-07,f(t) = 0.0010 * sin(2π * 8.3946 * t + -0.3423) + 0.2167 + 0.0010 * sin(2π * 8.9260 * t + -6.2832) + 0.2288 + 0.0015 * sin(2π * 9.3307 * t + 4.5404) + 0.3190 + 0.0011 * sin(2π * 12.1871 * t + 6.2832) + 0.2355
8150307,6.71139342330844e-07,f(t) = 0.0012 * sin(2π * 13.7145 * t + -6.2832) + 0.1953 + 0.0050 * sin(2π * 14.7137 * t + -6.2832) + 0.8047
8245366,0.0006003479518066828,f(t) = 0.0012 * sin(2π * 7.1032 * t + 0.6753) + 0.0481 + 0.0023 * sin(2π * 7.9554 * t + -0.6237) + 0.0908 + 0.0019 * sin(2π * 8.3069 * t + -5.9802) + 0.0750 + 0.0018 * sin(2π * 9.0478 * t + -6.2832) + 0.0731 + 0.0065 * sin(2π * 10.2890 * t + -6.2832) + 0.2593 + 0.0115 * sin(2π * 11.9397 * t + -4.4250) + 0.4554
