KIC,MSE,Composite Function
9614153,1.0215392455335514e-06,f(t) = 0.0027 * sin(2π * 13.2248 * t + -6.2832) + 0.6259 + 0.0016 * sin(2π * 14.8854 * t + 1.2010) + 0.3741
9700322,0.0007313311807782059,f(t) = 0.0106 * sin(2π * 9.7948 * t + -3.6860) + 0.4429 + 0.0114 * sin(2π * 12.5697 * t + -1.5341) + 0.4795 + 0.0019 * sin(2π * 22.3636 * t + 1.6183) + 0.0800
9706609,5.553339912153716e-07,f(t) = 0.0002 * sin(2π * 5.8572 * t + 1.7192) + 0.1640 + 0.0003 * sin(2π * 7.0533 * t + -6.2832) + 0.2457 + 0.0005 * sin(2π * 7.3760 * t + 1.3605) + 0.3978 + 0.0002 * sin(2π * 8.0077 * t + 0.4596) + 0.1924
9724292,3.0251483039051102e-06,f(t) = 0.0026 * sin(2π * 11.1746 * t + -6.2832) + 0.1900 + 0.0011 * sin(2π * 11.5711 * t + -6.2832) + 0.0835 + 0.0015 * sin(2π * 12.0855 * t + -6.2832) + 0.1134 + 0.0008 * sin(2π * 12.4868 * t + -6.2832) + 0.0605 + 0.0016 * sin(2π * 13.1665 * t + -3.5145) + 0.1198 + 0.0011 * sin(2π * 13.4832 * t + -1.0722) + 0.0774 + 0.0035 * sin(2π * 13.8122 * t + -6.2832) + 0.2598 + 0.0005 * sin(2π * 14.4690 * t + -6.2832) + 0.0353 + 0.0004 * sin(2π * 15.5477 * t + -6.2832) + 0.0314 + 0.0004 * sin(2π * 16.0348 * t + -6.2832) + 0.0290
9942562,1.5218687494263407e-07,f(t) = 0.0009 * sin(2π * 6.8178 * t + 5.5422) + 0.9999
10451090,1.6405357038011054e-06,f(t) = 0.0010 * sin(2π * 29.1615 * t + 2.4651) + 0.1346 + 0.0005 * sin(2π * 30.8776 * t + 3.2678) + 0.0657 + 0.0014 * sin(2π * 32.8457 * t + 2.9917) + 0.1851 + 0.0005 * sin(2π * 33.2312 * t + -2.0892) + 0.0635 + 0.0008 * sin(2π * 34.2396 * t + -1.5130) + 0.1117 + 0.0002 * sin(2π * 35.9407 * t + 2.0922) + 0.0328 + 0.0009 * sin(2π * 36.9276 * t + 3.2907) + 0.1227 + 0.0021 * sin(2π * 38.3766 * t + 4.3254) + 0.2839
11143576,9.043526919289913e-06,f(t) = 0.0033 * sin(2π * 15.0479 * t + -4.5370) + 0.1878 + 0.0144 * sin(2π * 15.7078 * t + -6.2832) + 0.8121
11704101,0.004040853074881297,f(t) = 0.0083 * sin(2π * 2.8884 * t + -3.3438) + 0.0947 + 0.0691 * sin(2π * 5.8012 * t + -6.2832) + 0.7921 + 0.0087 * sin(2π * 11.6009 * t + -5.6772) + 0.1003
11852985,5.697039697276582e-06,f(t) = 0.0126 * sin(2π * 19.7203 * t + 3.9337) + 0.9999
