,KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/period_pulse,1 Half,2 Half,Epsilon_%,R2_FFT,Composite Function
20,8330102,300.89816,44.289471,13.479,0.595887535,-0.002890806,-0.066293698,-0.004917402,-0.00086716,140.03626038556538,0.999982828,f(t) = 1.000100 + 0.002000 * sin(2?? * 17.328500 * t + -1.386100) + 0.000500 * sin(2?? * 19.036900 * t + -0.092800) + 0.000300 * sin(2?? * 21.188200 * t + 0.245800) + 0.000300 * sin(2?? * 15.959800 * t + -0.675500) + 0.000300 * sin(2?? * 22.932600 * t + -0.441900)
21,8453431,298.85471,44.452911,12.534,0.593181526,-0.000693192,-0.015354619,-0.000511896,-0.000874224,52.27940968957954,0.999989708,f(t) = 1.000000 + 0.000100 * sin(2?? * 13.867600 * t + -1.573500) + 0.000100 * sin(2?? * 22.150600 * t + -3.140600)
22,8493159,291.02487,44.546383,12.002,0.56569277,-0.004198826,-0.062378179,0.002799045,-0.011186511,333.48702944354545,0.999725151,f(t) = 1.000900 + 0.000600 * sin(2?? * 7.314600 * t + -2.960485) + 0.000200 * sin(2?? * 8.221500 * t + 0.995800) + 0.000200 * sin(2?? * 13.331700 * t + -1.184300) + 0.000100 * sin(2?? * 5.583700 * t + 1.422100) + 0.000100 * sin(2?? * 11.600800 * t + -2.253700) + 0.000100 * sin(2?? * 14.856100 * t + -1.654100)
23,8585472,299.66873,44.61068,13.249,0.637876087,0.003088559,0.038694394,0.001934817,0.00424062,74.67658279131008,0.999993067,f(t) = 0.999900 + 0.000100 * sin(2?? * 12.528300 * t + -1.939500)
24,8845312,300.23813,45.093578,11.501,0.693539008,0.000503707,0.003829886,-0.002476687,0.003479763,1187.6367765270948,0.999961187,f(t) = 0.999600 + 0.000200 * sin(2?? * 6.243100 * t + 0.850600) + 0.000100 * sin(2?? * 7.603400 * t + 0.515400)
25,9050337,299.98993,45.31699,12.598,0.646273738,0.001674331,0.029393383,0.005690394,-0.002335886,478.5368807476309,0.999998721,f(t) = 1.000000 + 0.000100 * sin(2?? * 17.555300 * t + 1.437100)
26,4544967,286.05136,39.6105,12.975,0.245193314,-0.021807768,-0.455649324,-0.022540847,-0.021075755,6.718047066036241,0.999998599,f(t) = 1.000200 + 0.002800 * sin(2?? * 16.133700 * t + 1.537900) + 0.000800 * sin(2?? * 20.893900 * t + -1.068100)
27,4569150,293.74969,39.678051,12.016,0.601894438,-0.000119108,-0.001619857,-0.000490471,0.000251372,620.5306923768061,0.999984334,f(t) = 1.000100 + 0.000300 * sin(2?? * 9.704700 * t + 1.027300) + 0.000300 * sin(2?? * 10.879800 * t + -0.688700) + 0.000300 * sin(2?? * 13.599900 * t + -2.403400) + 0.000100 * sin(2?? * 12.157200 * t + 0.493100)
28,4577647,295.71765,39.691494,11.9,0.535218686,-0.001016515,-0.009383145,0.000849547,-0.002878134,367.5150573801073,0.999880489,f(t) = 1.000800 + 0.001500 * sin(2?? * 9.230700 * t + 0.824100) + 0.000900 * sin(2?? * 7.356900 * t + -0.000015) + 0.000400 * sin(2?? * 7.664700 * t + 0.526800)
29,4940217,295.987,40.076389,13.496,0.688700428,0.061012694,0.32224464463040003,0.054226167,0.067783063,22.222738660391173,0.999941315,f(t) = 0.999600 + 0.002100 * sin(2?? * 5.281600 * t + 2.783700)
30,5108514,294.36151,40.262749,13.983,0.514464948,-0.005098982,-0.071413792,-0.001025283,-0.009162981,159.7464953,0.999971897,f(t) = 0.999900 + 0.001700 * sin(2?? * 7.002700 * t + -2.448085) + 0.001100 * sin(2?? * 5.813700 * t + 1.667200) + 0.000700 * sin(2?? * 10.152300 * t + -1.209900) + 0.000200 * sin(2?? * 4.798400 * t + -2.927400) + 0.000200 * sin(2?? * 7.510100 * t + 1.948700) + 0.000200 * sin(2?? * 9.117600 * t + -1.999685) + 0.000200 * sin(2?? * 13.491900 * t + 2.757400) + 0.000200 * sin(2?? * 14.005500 * t + 3.119000) + 0.000200 * sin(2?? * 4.105400 * t + 2.948585) + 0.000200 * sin(2?? * 12.619900 * t + -1.419800)
31,5358323,290.4848,40.597038,13.113,0.627253817,-0.002130138,-0.027476011,0.0002506,-0.004507411,223.5481909900286,0.999999211,f(t) = 1.000100 + 0.000100 * sin(2?? * 12.898700 * t + -1.567600)
32,5900260,298.00854,41.197849,13.413,0.599783673,-0.002641802,-0.045777673,-0.001717618,-0.003564642,69.93309158683637,0.999998164,f(t) = 1.000000 + 0.000100 * sin(2?? * 13.414100 * t + -2.363000) + 0.000100 * sin(2?? * 17.328200 * t + -0.229285)
33,9051991,300.42987,45.365898,13.471,0.641850685,0.008233055,0.107554984,0.011438629620264467,0.005032147,77.79211677,0.999948581,f(t) = 1.000100 + 0.000800 * sin(2?? * 10.384900 * t + 1.226300) + 0.000100 * sin(2?? * 9.704500 * t + 0.975400) + 0.000100 * sin(2?? * 12.507100 * t + 0.991600) + 0.000100 * sin(2?? * 13.063800 * t + -1.762200)
34,9306095,300.17462,45.799809,12.428,0.517353662,0.034547395,0.702801111,0.029393348808205003,0.039693939,29.819061752009222,0.99881925,f(t) = 1.004600 + 0.030200 * sin(2?? * 10.174300 * t + -2.611285) + 0.003700 * sin(2?? * 20.343100 * t + 1.637200)
35,9368220,300.32764,45.868259,11.271,0.551725931,0.01228614,0.182015478,0.026307568081882275,-0.001735288,228.2478887408825,0.999949043,f(t) = 1.000300 + 0.003000 * sin(2?? * 5.398100 * t + 0.908500) + 0.001200 * sin(2?? * 7.067200 * t + 2.839200) + 0.001100 * sin(2?? * 6.511000 * t + 1.346300) + 0.001100 * sin(2?? * 13.537500 * t + 2.526300) + 0.001000 * sin(2?? * 14.814700 * t + -2.608285) + 0.000900 * sin(2?? * 8.963600 * t + 2.256385) + 0.000500 * sin(2?? * 4.368300 * t + -0.299300) + 0.000500 * sin(2?? * 4.739700 * t + 2.308185) + 0.000500 * sin(2?? * 9.334700 * t + 1.817885) + 0.000300 * sin(2?? * 5.831000 * t + -3.002585)
36,9368524,300.42334,45.886761,13.868,0.596350996,-0.00379789,-0.046657079,-0.004237358,-0.003359062,23.123945903839317,0.999864053,f(t) = 1.000000 + 0.000800 * sin(2?? * 10.511300 * t + -2.507100) + 0.000200 * sin(2?? * 5.551000 * t + -1.989800) + 0.000200 * sin(2?? * 10.833000 * t + -0.377100) + 0.000100 * sin(2?? * 6.016800 * t + 0.859500) + 0.000100 * sin(2?? * 12.285000 * t + -1.834200)
37,9649801,292.08319,46.31078,13.525,0.596972447,-0.001423124,-0.030174498,-0.003091087,0.000242411,234.0384104554391,0.999995398,f(t) = 1.000100 + 0.000200 * sin(2?? * 14.403700 * t + 2.826385) + 0.000100 * sin(2?? * 12.343400 * t + -2.720300) + 0.000100 * sin(2?? * 17.040500 * t + 0.631600) + 0.000100 * sin(2?? * 18.854200 * t + -2.807300) + 0.000100 * sin(2?? * 19.306200 * t + 1.563400) + 0.000100 * sin(2?? * 21.203000 * t + 2.596685)
38,9775887,294.04736,46.569839,16.218,0.572067491,0.013333637,0.019081768,-0.051210872,0.077632729,975.2804255077839,0.999672803,f(t) = 1.000100 + 0.001800 * sin(2?? * 1.431100 * t + 2.479300)
